Code,Name,Longitude,Latitude,Logger,Date,CHL_QA_AVG,NTU_QA_AVG
WHI1,Double Cone Island,148.7217,-20.1049,828,24/12/2020,0.395,0.877
WHI1,Double Cone Island,148.7217,-20.1049,828,25/12/2020,0.333,0.88
WHI1,Double Cone Island,148.7217,-20.1049,828,26/12/2020,0.457,2.138
WHI1,Double Cone Island,148.7217,-20.1049,828,27/12/2020,0.486,1.148
WHI1,Double Cone Island,148.7217,-20.1049,828,28/12/2020,0.484,1.054
WHI1,Double Cone Island,148.7217,-20.1049,828,29/12/2020,0.441,1.033
WHI1,Double Cone Island,148.7217,-20.1049,828,30/12/2020,0.4,0.994
WHI1,Double Cone Island,148.7217,-20.1049,828,31/12/2020,0.456,1.188
WHI1,Double Cone Island,148.7217,-20.1049,828,1/01/2021,0.594,1.349
WHI1,Double Cone Island,148.7217,-20.1049,828,2/01/2021,0.739,1.425
WHI1,Double Cone Island,148.7217,-20.1049,828,3/01/2021,0.806,1.267
WHI1,Double Cone Island,148.7217,-20.1049,828,4/01/2021,0.6,1.016
WHI1,Double Cone Island,148.7217,-20.1049,828,5/01/2021,0.433,0.853
WHI1,Double Cone Island,148.7217,-20.1049,828,6/01/2021,0.522,1.038
WHI1,Double Cone Island,148.7217,-20.1049,828,7/01/2021,0.579,1.319
WHI1,Double Cone Island,148.7217,-20.1049,828,8/01/2021,0.568,1.153
WHI1,Double Cone Island,148.7217,-20.1049,828,9/01/2021,0.664,1.213
WHI1,Double Cone Island,148.7217,-20.1049,828,10/01/2021,0.801,1.854
WHI1,Double Cone Island,148.7217,-20.1049,828,11/01/2021,0.707,2.383
WHI1,Double Cone Island,148.7217,-20.1049,828,12/01/2021,0.676,2.97
WHI1,Double Cone Island,148.7217,-20.1049,828,13/01/2021,0.676,3.39
WHI1,Double Cone Island,148.7217,-20.1049,828,14/01/2021,0.711,3.446
WHI1,Double Cone Island,148.7217,-20.1049,828,15/01/2021,0.878,2.619
WHI1,Double Cone Island,148.7217,-20.1049,828,16/01/2021,1.02,1.977
WHI1,Double Cone Island,148.7217,-20.1049,828,17/01/2021,0.74,1.557
WHI1,Double Cone Island,148.7217,-20.1049,828,18/01/2021,0.608,1.098
WHI1,Double Cone Island,148.7217,-20.1049,828,19/01/2021,0.621,1.111
WHI1,Double Cone Island,148.7217,-20.1049,828,20/01/2021,0.86,1.209
WHI1,Double Cone Island,148.7217,-20.1049,828,21/01/2021,0.918,1.173
WHI1,Double Cone Island,148.7217,-20.1049,828,22/01/2021,0.712,1.168
WHI1,Double Cone Island,148.7217,-20.1049,828,23/01/2021,0.685,0.937
WHI1,Double Cone Island,148.7217,-20.1049,828,24/01/2021,0.551,0.858
WHI1,Double Cone Island,148.7217,-20.1049,828,25/01/2021,0.627,0.895
WHI1,Double Cone Island,148.7217,-20.1049,828,26/01/2021,0.546,0.851
WHI1,Double Cone Island,148.7217,-20.1049,828,27/01/2021,0.481,0.805
WHI1,Double Cone Island,148.7217,-20.1049,828,28/01/2021,0.542,0.906
WHI1,Double Cone Island,148.7217,-20.1049,828,29/01/2021,0.728,1.266
WHI1,Double Cone Island,148.7217,-20.1049,828,30/01/2021,0.779,1.323
WHI1,Double Cone Island,148.7217,-20.1049,828,31/01/2021,0.743,1.326
WHI1,Double Cone Island,148.7217,-20.1049,828,1/02/2021,0.675,1.24
WHI1,Double Cone Island,148.7217,-20.1049,828,2/02/2021,0.573,0.92
WHI1,Double Cone Island,148.7217,-20.1049,828,3/02/2021,0.548,0.791
WHI1,Double Cone Island,148.7217,-20.1049,828,4/02/2021,0.571,0.854
WHI1,Double Cone Island,148.7217,-20.1049,828,5/02/2021,0.758,2.212
WHI1,Double Cone Island,148.7217,-20.1049,828,6/02/2021,0.616,0.837
WHI1,Double Cone Island,148.7217,-20.1049,828,7/02/2021,0.693,0.905
WHI1,Double Cone Island,148.7217,-20.1049,828,8/02/2021,0.695,0.785
WHI1,Double Cone Island,148.7217,-20.1049,843,8/02/2021,0.426,1.168
WHI1,Double Cone Island,148.7217,-20.1049,843,9/02/2021,0.391,1.141
WHI1,Double Cone Island,148.7217,-20.1049,843,10/02/2021,0.443,1.577
WHI1,Double Cone Island,148.7217,-20.1049,843,11/02/2021,0.48,1.628
WHI1,Double Cone Island,148.7217,-20.1049,843,12/02/2021,0.508,1.651
WHI1,Double Cone Island,148.7217,-20.1049,843,13/02/2021,0.499,1.727
WHI1,Double Cone Island,148.7217,-20.1049,843,14/02/2021,0.548,2.092
WHI1,Double Cone Island,148.7217,-20.1049,843,15/02/2021,0.56,1.802
WHI1,Double Cone Island,148.7217,-20.1049,843,16/02/2021,0.476,1.543
WHI1,Double Cone Island,148.7217,-20.1049,843,17/02/2021,0.562,2.396
WHI1,Double Cone Island,148.7217,-20.1049,843,18/02/2021,0.682,1.809
WHI1,Double Cone Island,148.7217,-20.1049,843,19/02/2021,0.661,0.97
WHI1,Double Cone Island,148.7217,-20.1049,843,20/02/2021,0.587,0.97
WHI1,Double Cone Island,148.7217,-20.1049,843,21/02/2021,0.564,1.132
WHI1,Double Cone Island,148.7217,-20.1049,843,22/02/2021,0.627,1.311
WHI1,Double Cone Island,148.7217,-20.1049,843,23/02/2021,0.568,1.26
WHI1,Double Cone Island,148.7217,-20.1049,843,24/02/2021,0.47,1.282
WHI1,Double Cone Island,148.7217,-20.1049,843,25/02/2021,0.355,1.222
WHI1,Double Cone Island,148.7217,-20.1049,843,26/02/2021,0.441,1.592
WHI1,Double Cone Island,148.7217,-20.1049,843,27/02/2021,0.494,2.327
WHI1,Double Cone Island,148.7217,-20.1049,843,28/02/2021,0.53,3.497
WHI1,Double Cone Island,148.7217,-20.1049,843,1/03/2021,0.538,4.388
WHI1,Double Cone Island,148.7217,-20.1049,843,2/03/2021,0.571,4.167
WHI1,Double Cone Island,148.7217,-20.1049,843,3/03/2021,0.638,3.829
WHI1,Double Cone Island,148.7217,-20.1049,843,4/03/2021,0.741,3.905
WHI1,Double Cone Island,148.7217,-20.1049,843,5/03/2021,0.828,2.458
WHI1,Double Cone Island,148.7217,-20.1049,843,6/03/2021,0.677,1.687
WHI1,Double Cone Island,148.7217,-20.1049,843,7/03/2021,0.494,1.587
WHI1,Double Cone Island,148.7217,-20.1049,843,8/03/2021,0.424,1.257
WHI1,Double Cone Island,148.7217,-20.1049,843,9/03/2021,0.427,1.012
WHI1,Double Cone Island,148.7217,-20.1049,843,10/03/2021,0.44,1.044
WHI1,Double Cone Island,148.7217,-20.1049,843,11/03/2021,0.463,1.179
WHI1,Double Cone Island,148.7217,-20.1049,843,12/03/2021,0.475,1.357
WHI1,Double Cone Island,148.7217,-20.1049,843,13/03/2021,0.449,1.444
WHI1,Double Cone Island,148.7217,-20.1049,843,14/03/2021,0.405,1.388
WHI1,Double Cone Island,148.7217,-20.1049,843,15/03/2021,0.389,1.333
WHI1,Double Cone Island,148.7217,-20.1049,843,16/03/2021,0.377,1.142
WHI1,Double Cone Island,148.7217,-20.1049,843,17/03/2021,0.375,0.965
WHI1,Double Cone Island,148.7217,-20.1049,843,18/03/2021,0.373,0.869
WHI1,Double Cone Island,148.7217,-20.1049,843,19/03/2021,0.307,0.776
WHI1,Double Cone Island,148.7217,-20.1049,843,20/03/2021,0.26,0.851
WHI1,Double Cone Island,148.7217,-20.1049,843,21/03/2021,0.355,0.624
WHI1,Double Cone Island,148.7217,-20.1049,843,22/03/2021,0.46,0.874
WHI1,Double Cone Island,148.7217,-20.1049,843,23/03/2021,0.459,0.945
